id,qname,heading,text,type,diagram,website,updated
,AccessCategoryCode,AccessCategoryCode,A code that indicates categories of access to a location that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/AccessCategoryCode.dot.svg,https://w3id.org/itsdata/regulation/v1/AccessCategoryCode,2026-07-21T18:08:15.348954
,AccessControlDevice,AccessControlDevice,"A device that is used to control access to a specific area, such as a gate or barrier.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/AccessControlDevice.dot.svg,https://w3id.org/itsdata/regulation/v1/AccessControlDevice,2026-07-21T18:08:15.348954
,AccessControlTypeCode,AccessControlTypeCode,A code that indicates the type of access control device.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/AccessControlTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/AccessControlTypeCode,2026-07-21T18:08:15.348954
,ActivationStatusCode,ActivationStatusCode,A code indicating the activation status of an object,Class,https://w3id.org/itsdata/regulation/v1/diagrams/ActivationStatusCode.dot.svg,https://w3id.org/itsdata/regulation/v1/ActivationStatusCode,2026-07-21T18:08:15.348954
,ChannelizationDevice,ChannelizationDevice,"A device that is used to guide or direct traffic, such as a curb or a series of cones, barrels, or barricades.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/ChannelizationDevice.dot.svg,https://w3id.org/itsdata/regulation/v1/ChannelizationDevice,2026-07-21T18:08:15.348954
,ChannelizationTypeCode,ChannelizationTypeCode,A code that indicates the type of channelization device.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/ChannelizationTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/ChannelizationTypeCode,2026-07-21T18:08:15.348954
,CodePairRegulationCode,CodePairRegulationCode,A code indicating the type of regulation that is associated with a code pair.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CodePairRegulationCode.dot.svg,https://w3id.org/itsdata/regulation/v1/CodePairRegulationCode,2026-07-21T18:08:15.348954
,CodedPairRegulation,CodedPairRegulation,A restriction defined by a code.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CodedPairRegulation.dot.svg,https://w3id.org/itsdata/regulation/v1/CodedPairRegulation,2026-07-21T18:08:15.348954
,CodedRegulation,CodedRegulation,A restriction defined by a code.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CodedRegulation.dot.svg,https://w3id.org/itsdata/regulation/v1/CodedRegulation,2026-07-21T18:08:15.348954
,CodedRegulationWithFee,CodedRegulationWithFee,A condition defined by a code.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CodedRegulationWithFee.dot.svg,https://w3id.org/itsdata/regulation/v1/CodedRegulationWithFee,2026-07-21T18:08:15.348954
